[mio cells/mL],[mio cells/mL],[1/mL],[1/mL],[1/day],[1/day],,
Chlorella,Chlorella-error,Brachionus,Brachionus-error,delta,meandelta,day#,chemostat
1.06145,0.02495,7.333333333,2.333333333,0.128193016,0.121965898,92,5o3low
1.1195,0.0449,10.91666667,2.083333333,0.117068412,0.121965898,93,5o3low
1.103,0.0132,12.83333333,0.833333333,0.124029871,0.121965898,94,5o3low
0.90481,0.10519,30.1,0.7,0.315496249,0.320281314,107,5o3high
0.79369,0.08181,32.2,1.2,0.311919613,0.320281314,108,5o3high
1.03585,0.00695,30.1,2.1,0.323922134,0.320281314,109,5o3high
1.14635,0.05385,31,0.4,0.312464621,0.320281314,110,5o3high
1.02119,0.02181,27.9,0.3,0.324764741,0.320281314,111,5o3high
1.1085,0.0886,25.9,2.5,0.310529667,0.320281314,112,5o3high
0.939375,0.014875,25.875,2.125,0.318161732,0.320281314,113,5o3high
0.81187,0.01475,29.1,1.9,0.313304676,0.320281314,114,5o3high
0.905935,0.003315,28.8,0.6,0.324605514,0.320281314,115,5o3high
0.721125,0.022375,34.2,2.4,0.312934146,0.320281314,116,5o3high
0.892,0.05475,24.8,2.2,0.311726097,0.320281314,117,5o3high
0.808175,0.240425,32.8,0.2,0.320985653,0.320281314,118,5o3high
0.71669,0.01331,29.9,0.1,0.312986301,0.320281314,119,5o3high
0.97311,0.06399,32.5,4.5,0.315816957,0.320281314,120,5o3high
0.69294,0.01956,16.4,3.4,0.319436504,0.320281314,121,5o3high
0.66825,0.00563,40,3.6,0.31152477,0.320281314,122,5o3high
0.89862,0.078,36.375,2.375,0.323860151,0.320281314,123,5o3high
0.954685,0.003935,24.6,1.8,0.312328767,0.320281314,124,5o3high
0.78163,0.02625,32,2.6,0.318542308,0.320281314,125,5o3high
0.749935,0.044685,26.5,1.9,0.30628732,0.320281314,126,5o3high
0.82156,0.00794,31.3,1.7,0.323472192,0.320281314,127,5o3high
0.70919,0.01169,32.1,0.7,0.310461604,0.320281314,128,5o3high
